customer_id,experiment_group,offer_type,assignment_date
1,A,10% Bill Discount,2025-01-01
2,A,10% Bill Discount,2025-01-01
3,B,10% Bill Discount,2025-01-01
4,B,10% Bill Discount,2025-01-01
5,B,10% Bill Discount,2025-01-01
6,B,10% Bill Discount,2025-01-01
7,B,10% Bill Discount,2025-01-01
8,A,10% Bill Discount,2025-01-01
9,A,10% Bill Discount,2025-01-01
10,B,10% Bill Discount,2025-01-01
11,B,10% Bill Discount,2025-01-01
12,A,10% Bill Discount,2025-01-01
13,B,10% Bill Discount,2025-01-01
14,A,10% Bill Discount,2025-01-01
15,B,10% Bill Discount,2025-01-01
16,A,10% Bill Discount,2025-01-01
17,B,10% Bill Discount,2025-01-01
18,B,10% Bill Discount,2025-01-01
19,B,10% Bill Discount,2025-01-01
20,B,10% Bill Discount,2025-01-01
21,B,10% Bill Discount,2025-01-01
22,B,10% Bill Discount,2025-01-01
23,A,10% Bill Discount,2025-01-01
24,A,10% Bill Discount,2025-01-01
25,A,10% Bill Discount,2025-01-01
26,B,10% Bill Discount,2025-01-01
27,B,10% Bill Discount,2025-01-01
28,A,10% Bill Discount,2025-01-01
29,B,10% Bill Discount,2025-01-01
30,B,10% Bill Discount,2025-01-01
31,A,10% Bill Discount,2025-01-01
32,A,10% Bill Discount,2025-01-01
33,A,10% Bill Discount,2025-01-01
34,A,10% Bill Discount,2025-01-01
35,B,10% Bill Discount,2025-01-01
36,A,10% Bill Discount,2025-01-01
37,A,10% Bill Discount,2025-01-01
38,B,10% Bill Discount,2025-01-01
39,B,10% Bill Discount,2025-01-01
40,A,10% Bill Discount,2025-01-01
41,B,10% Bill Discount,2025-01-01
42,A,10% Bill Discount,2025-01-01
43,B,10% Bill Discount,2025-01-01
44,B,10% Bill Discount,2025-01-01
45,B,10% Bill Discount,2025-01-01
46,A,10% Bill Discount,2025-01-01
47,B,10% Bill Discount,2025-01-01
48,B,10% Bill Discount,2025-01-01
49,A,10% Bill Discount,2025-01-01
50,A,10% Bill Discount,2025-01-01
51,A,10% Bill Discount,2025-01-01
52,A,10% Bill Discount,2025-01-01
53,A,10% Bill Discount,2025-01-01
54,A,10% Bill Discount,2025-01-01
55,A,10% Bill Discount,2025-01-01
56,B,10% Bill Discount,2025-01-01
57,A,10% Bill Discount,2025-01-01
58,A,10% Bill Discount,2025-01-01
59,A,10% Bill Discount,2025-01-01
60,B,10% Bill Discount,2025-01-01
61,A,10% Bill Discount,2025-01-01
62,B,10% Bill Discount,2025-01-01
63,B,10% Bill Discount,2025-01-01
64,B,10% Bill Discount,2025-01-01
65,A,10% Bill Discount,2025-01-01
66,B,10% Bill Discount,2025-01-01
67,A,10% Bill Discount,2025-01-01
68,A,10% Bill Discount,2025-01-01
69,B,10% Bill Discount,2025-01-01
70,A,10% Bill Discount,2025-01-01
71,A,10% Bill Discount,2025-01-01
72,A,10% Bill Discount,2025-01-01
73,A,10% Bill Discount,2025-01-01
74,A,10% Bill Discount,2025-01-01
75,B,10% Bill Discount,2025-01-01
76,B,10% Bill Discount,2025-01-01
77,B,10% Bill Discount,2025-01-01
78,B,10% Bill Discount,2025-01-01
79,A,10% Bill Discount,2025-01-01
80,B,10% Bill Discount,2025-01-01
81,B,10% Bill Discount,2025-01-01
82,A,10% Bill Discount,2025-01-01
83,A,10% Bill Discount,2025-01-01
84,B,10% Bill Discount,2025-01-01
85,A,10% Bill Discount,2025-01-01
86,A,10% Bill Discount,2025-01-01
87,A,10% Bill Discount,2025-01-01
88,A,10% Bill Discount,2025-01-01
89,A,10% Bill Discount,2025-01-01
90,B,10% Bill Discount,2025-01-01
91,A,10% Bill Discount,2025-01-01
92,B,10% Bill Discount,2025-01-01
93,B,10% Bill Discount,2025-01-01
94,A,10% Bill Discount,2025-01-01
95,B,10% Bill Discount,2025-01-01
96,A,10% Bill Discount,2025-01-01
97,B,10% Bill Discount,2025-01-01
98,A,10% Bill Discount,2025-01-01
99,B,10% Bill Discount,2025-01-01
100,A,10% Bill Discount,2025-01-01
101,B,10% Bill Discount,2025-01-01
102,B,10% Bill Discount,2025-01-01
103,B,10% Bill Discount,2025-01-01
104,A,10% Bill Discount,2025-01-01
105,B,10% Bill Discount,2025-01-01
106,A,10% Bill Discount,2025-01-01
107,A,10% Bill Discount,2025-01-01
108,A,10% Bill Discount,2025-01-01
109,B,10% Bill Discount,2025-01-01
110,B,10% Bill Discount,2025-01-01
111,B,10% Bill Discount,2025-01-01
112,A,10% Bill Discount,2025-01-01
113,B,10% Bill Discount,2025-01-01
114,B,10% Bill Discount,2025-01-01
115,A,10% Bill Discount,2025-01-01
116,B,10% Bill Discount,2025-01-01
117,B,10% Bill Discount,2025-01-01
118,B,10% Bill Discount,2025-01-01
119,B,10% Bill Discount,2025-01-01
120,A,10% Bill Discount,2025-01-01
121,B,10% Bill Discount,2025-01-01
122,A,10% Bill Discount,2025-01-01
123,A,10% Bill Discount,2025-01-01
124,B,10% Bill Discount,2025-01-01
125,B,10% Bill Discount,2025-01-01
126,B,10% Bill Discount,2025-01-01
127,A,10% Bill Discount,2025-01-01
128,A,10% Bill Discount,2025-01-01
129,A,10% Bill Discount,2025-01-01
130,A,10% Bill Discount,2025-01-01
131,A,10% Bill Discount,2025-01-01
132,A,10% Bill Discount,2025-01-01
133,B,10% Bill Discount,2025-01-01
134,A,10% Bill Discount,2025-01-01
135,A,10% Bill Discount,2025-01-01
136,A,10% Bill Discount,2025-01-01
137,B,10% Bill Discount,2025-01-01
138,A,10% Bill Discount,2025-01-01
139,B,10% Bill Discount,2025-01-01
140,B,10% Bill Discount,2025-01-01
141,B,10% Bill Discount,2025-01-01
142,A,10% Bill Discount,2025-01-01
143,B,10% Bill Discount,2025-01-01
144,A,10% Bill Discount,2025-01-01
145,A,10% Bill Discount,2025-01-01
146,B,10% Bill Discount,2025-01-01
147,B,10% Bill Discount,2025-01-01
148,A,10% Bill Discount,2025-01-01
149,B,10% Bill Discount,2025-01-01
150,B,10% Bill Discount,2025-01-01
151,A,10% Bill Discount,2025-01-01
152,B,10% Bill Discount,2025-01-01
153,B,10% Bill Discount,2025-01-01
154,A,10% Bill Discount,2025-01-01
155,B,10% Bill Discount,2025-01-01
156,B,10% Bill Discount,2025-01-01
157,A,10% Bill Discount,2025-01-01
158,A,10% Bill Discount,2025-01-01
159,B,10% Bill Discount,2025-01-01
160,B,10% Bill Discount,2025-01-01
161,B,10% Bill Discount,2025-01-01
162,B,10% Bill Discount,2025-01-01
163,B,10% Bill Discount,2025-01-01
164,B,10% Bill Discount,2025-01-01
165,A,10% Bill Discount,2025-01-01
166,A,10% Bill Discount,2025-01-01
167,A,10% Bill Discount,2025-01-01
168,A,10% Bill Discount,2025-01-01
169,A,10% Bill Discount,2025-01-01
170,A,10% Bill Discount,2025-01-01
171,A,10% Bill Discount,2025-01-01
172,B,10% Bill Discount,2025-01-01
173,B,10% Bill Discount,2025-01-01
174,B,10% Bill Discount,2025-01-01
175,A,10% Bill Discount,2025-01-01
176,A,10% Bill Discount,2025-01-01
177,B,10% Bill Discount,2025-01-01
178,A,10% Bill Discount,2025-01-01
179,A,10% Bill Discount,2025-01-01
180,B,10% Bill Discount,2025-01-01
181,A,10% Bill Discount,2025-01-01
182,B,10% Bill Discount,2025-01-01
183,B,10% Bill Discount,2025-01-01
184,A,10% Bill Discount,2025-01-01
185,A,10% Bill Discount,2025-01-01
186,B,10% Bill Discount,2025-01-01
187,A,10% Bill Discount,2025-01-01
188,A,10% Bill Discount,2025-01-01
189,B,10% Bill Discount,2025-01-01
190,B,10% Bill Discount,2025-01-01
191,A,10% Bill Discount,2025-01-01
192,B,10% Bill Discount,2025-01-01
193,A,10% Bill Discount,2025-01-01
194,B,10% Bill Discount,2025-01-01
195,A,10% Bill Discount,2025-01-01
196,B,10% Bill Discount,2025-01-01
197,A,10% Bill Discount,2025-01-01
198,A,10% Bill Discount,2025-01-01
199,A,10% Bill Discount,2025-01-01
200,B,10% Bill Discount,2025-01-01
201,B,10% Bill Discount,2025-01-01
202,A,10% Bill Discount,2025-01-01
203,A,10% Bill Discount,2025-01-01
204,B,10% Bill Discount,2025-01-01
205,B,10% Bill Discount,2025-01-01
206,B,10% Bill Discount,2025-01-01
207,A,10% Bill Discount,2025-01-01
208,A,10% Bill Discount,2025-01-01
209,A,10% Bill Discount,2025-01-01
210,A,10% Bill Discount,2025-01-01
211,A,10% Bill Discount,2025-01-01
212,B,10% Bill Discount,2025-01-01
213,B,10% Bill Discount,2025-01-01
214,B,10% Bill Discount,2025-01-01
215,A,10% Bill Discount,2025-01-01
216,A,10% Bill Discount,2025-01-01
217,B,10% Bill Discount,2025-01-01
218,B,10% Bill Discount,2025-01-01
219,B,10% Bill Discount,2025-01-01
220,A,10% Bill Discount,2025-01-01
221,B,10% Bill Discount,2025-01-01
222,B,10% Bill Discount,2025-01-01
223,B,10% Bill Discount,2025-01-01
224,B,10% Bill Discount,2025-01-01
225,A,10% Bill Discount,2025-01-01
226,B,10% Bill Discount,2025-01-01
227,A,10% Bill Discount,2025-01-01
228,A,10% Bill Discount,2025-01-01
229,B,10% Bill Discount,2025-01-01
230,A,10% Bill Discount,2025-01-01
231,B,10% Bill Discount,2025-01-01
232,B,10% Bill Discount,2025-01-01
233,A,10% Bill Discount,2025-01-01
234,A,10% Bill Discount,2025-01-01
235,B,10% Bill Discount,2025-01-01
236,A,10% Bill Discount,2025-01-01
237,A,10% Bill Discount,2025-01-01
238,A,10% Bill Discount,2025-01-01
239,A,10% Bill Discount,2025-01-01
240,B,10% Bill Discount,2025-01-01
241,B,10% Bill Discount,2025-01-01
242,B,10% Bill Discount,2025-01-01
243,B,10% Bill Discount,2025-01-01
244,A,10% Bill Discount,2025-01-01
245,A,10% Bill Discount,2025-01-01
246,A,10% Bill Discount,2025-01-01
247,A,10% Bill Discount,2025-01-01
248,B,10% Bill Discount,2025-01-01
249,A,10% Bill Discount,2025-01-01
250,A,10% Bill Discount,2025-01-01
251,B,10% Bill Discount,2025-01-01
252,B,10% Bill Discount,2025-01-01
253,B,10% Bill Discount,2025-01-01
254,B,10% Bill Discount,2025-01-01
255,B,10% Bill Discount,2025-01-01
256,B,10% Bill Discount,2025-01-01
257,A,10% Bill Discount,2025-01-01
258,B,10% Bill Discount,2025-01-01
259,A,10% Bill Discount,2025-01-01
260,B,10% Bill Discount,2025-01-01
261,A,10% Bill Discount,2025-01-01
262,A,10% Bill Discount,2025-01-01
263,A,10% Bill Discount,2025-01-01
264,B,10% Bill Discount,2025-01-01
265,B,10% Bill Discount,2025-01-01
266,B,10% Bill Discount,2025-01-01
267,B,10% Bill Discount,2025-01-01
268,A,10% Bill Discount,2025-01-01
269,B,10% Bill Discount,2025-01-01
270,A,10% Bill Discount,2025-01-01
271,A,10% Bill Discount,2025-01-01
