customer_id,age,tenure_months,city,plan_type,monthly_charge,avg_data_usage_gb
1,59,55,Bangalore,Platinum,1026,27.7
2,49,7,Bangalore,Platinum,452,40.78
3,35,56,Chennai,Silver,1153,45.7
4,63,48,Mumbai,Gold,686,30.19
5,28,40,Mumbai,Silver,782,11.89
6,41,42,Delhi,Platinum,978,47.34
7,59,46,Bangalore,Platinum,736,38.72
8,39,11,Bangalore,Silver,582,22.81
9,43,34,Bangalore,Gold,630,17.46
10,31,12,Bangalore,Platinum,849,7.15
11,31,52,Hyderabad,Gold,788,13.61
12,44,52,Mumbai,Gold,792,40.0
13,56,45,Delhi,Platinum,684,9.89
14,60,47,Hyderabad,Platinum,562,10.82
15,44,27,Mumbai,Gold,503,13.82
16,23,58,Chennai,Platinum,562,22.79
17,42,12,Bangalore,Gold,705,13.51
18,22,13,Delhi,Silver,1197,45.69
19,44,8,Mumbai,Gold,670,16.59
20,64,16,Chennai,Silver,940,46.38
21,50,29,Bangalore,Silver,808,49.32
22,58,35,Chennai,Platinum,474,38.97
23,22,29,Chennai,Platinum,884,5.33
24,41,31,Hyderabad,Platinum,712,15.8
25,53,13,Chennai,Silver,511,17.03
26,32,12,Hyderabad,Gold,647,29.42
27,42,51,Hyderabad,Platinum,1157,12.13
28,64,2,Chennai,Platinum,890,8.47
29,45,33,Mumbai,Platinum,969,12.94
30,47,8,Chennai,Gold,1051,19.73
31,62,41,Chennai,Platinum,879,7.21
32,48,57,Mumbai,Platinum,724,13.79
33,36,59,Bangalore,Silver,761,12.54
34,35,40,Delhi,Silver,1154,39.76
35,64,53,Bangalore,Platinum,884,12.63
36,23,49,Chennai,Silver,820,40.62
37,57,41,Bangalore,Silver,808,27.87
38,27,32,Delhi,Silver,807,39.1
39,41,38,Bangalore,Silver,1161,25.27
40,29,28,Delhi,Silver,529,45.55
41,59,15,Bangalore,Silver,524,17.44
42,38,23,Hyderabad,Silver,1175,39.51
43,24,24,Chennai,Platinum,1112,12.35
44,45,13,Delhi,Silver,683,44.72
45,34,21,Chennai,Gold,587,6.28
46,29,54,Hyderabad,Gold,837,25.58
47,46,12,Bangalore,Platinum,443,23.96
48,22,13,Chennai,Silver,921,33.07
49,40,39,Bangalore,Silver,404,24.84
50,48,23,Bangalore,Silver,775,31.5
51,27,50,Chennai,Platinum,574,43.78
52,64,46,Delhi,Gold,558,11.39
53,28,43,Delhi,Silver,643,15.99
54,55,28,Chennai,Platinum,428,41.13
55,34,14,Delhi,Silver,786,15.26
56,37,17,Mumbai,Silver,553,45.75
57,56,24,Bangalore,Gold,1006,29.34
58,60,53,Chennai,Gold,401,8.68
59,24,58,Hyderabad,Gold,734,5.93
60,22,34,Chennai,Silver,860,39.33
61,26,51,Chennai,Platinum,1003,43.54
62,62,48,Bangalore,Gold,455,15.79
63,24,22,Hyderabad,Silver,1147,15.84
64,49,10,Bangalore,Gold,797,47.93
65,38,54,Delhi,Platinum,731,34.53
66,46,8,Chennai,Silver,926,12.54
67,64,21,Bangalore,Gold,996,25.19
68,54,37,Mumbai,Gold,773,45.97
69,30,7,Chennai,Platinum,1165,32.95
70,56,26,Delhi,Silver,1132,23.34
71,34,13,Bangalore,Gold,1160,11.8
72,51,16,Bangalore,Gold,444,37.67
73,35,30,Mumbai,Silver,931,17.44
74,28,31,Delhi,Gold,523,30.47
75,34,5,Mumbai,Gold,1057,32.01
76,43,32,Chennai,Platinum,629,30.0
77,60,16,Hyderabad,Platinum,734,16.09
78,41,47,Bangalore,Silver,972,36.87
79,36,9,Mumbai,Silver,520,30.47
80,38,22,Bangalore,Gold,655,23.17
81,44,55,Bangalore,Gold,1115,7.35
82,46,44,Mumbai,Silver,881,19.91
83,45,40,Bangalore,Gold,916,20.86
84,61,45,Delhi,Platinum,713,40.6
85,49,37,Delhi,Silver,736,28.11
86,35,14,Hyderabad,Silver,476,46.95
87,21,16,Delhi,Gold,1052,38.78
88,45,43,Mumbai,Platinum,499,29.21
89,27,20,Delhi,Gold,1119,12.6
90,29,44,Hyderabad,Silver,695,14.95
91,44,15,Chennai,Platinum,1106,12.2
92,21,56,Chennai,Silver,1091,24.93
93,64,44,Mumbai,Gold,657,37.51
94,28,26,Hyderabad,Gold,836,39.17
95,44,9,Delhi,Silver,1106,9.33
96,31,1,Hyderabad,Gold,1050,27.32
97,37,35,Bangalore,Silver,922,26.66
98,28,44,Hyderabad,Gold,1177,24.75
99,55,20,Delhi,Gold,939,18.55
100,55,45,Mumbai,Platinum,518,26.41
101,53,55,Bangalore,Platinum,794,28.25
102,25,6,Hyderabad,Silver,896,31.99
103,62,42,Chennai,Platinum,648,21.98
104,59,10,Delhi,Platinum,406,47.53
105,61,48,Mumbai,Silver,812,20.25
106,48,59,Delhi,Platinum,835,45.28
107,27,33,Hyderabad,Gold,1054,41.06
