"customer_id","experiment_group","churned","total_revenue"
11038,B,0,3322.00
16093,C,0,2272.00
11140,C,0,2919.00
14952,B,0,3198.00
13959,C,0,2639.00
6180,B,1,1959.00
11291,C,0,3083.00
10663,C,0,2323.00
4711,B,0,2745.00
16652,B,0,2918.00
581,B,0,2378.00
4088,C,0,3208.00
2759,C,0,2897.00
223,B,0,2681.00
17161,C,0,2755.00
5839,C,0,2297.00
16497,B,1,2152.00
2551,B,0,3087.00
19389,B,0,2347.00
16044,C,0,2587.00
5091,B,0,2368.00
1613,C,0,2595.00
8352,B,0,3159.00
17633,B,1,1089.00
4265,C,0,2870.00
4933,C,0,2686.00
117,C,0,2780.00
11963,B,0,2821.00
1398,B,0,2509.00
16324,C,0,2747.00
14842,B,0,2584.00
7652,B,0,2636.00
13847,C,0,2898.00
6018,C,0,2788.00
8943,C,0,2517.00
2126,C,0,2553.00
13958,B,0,3463.00
6785,C,0,2241.00
3717,B,0,3129.00
19039,C,0,2578.00
3283,C,0,2015.00
14492,C,0,2480.00
8294,B,0,2630.00
15339,B,0,2866.00
15236,B,0,2962.00
18625,C,0,2618.00
8856,B,0,2687.00
13220,B,0,2405.00
7983,C,0,2692.00
889,B,0,2555.00
5510,B,0,2259.00
12719,C,0,2754.00
8058,B,0,1932.00
17810,B,0,2537.00
8030,C,0,2872.00
4867,B,0,2042.00
13476,B,0,2743.00
13055,B,0,2628.00
15066,C,0,2339.00
12268,B,0,2518.00
7588,C,0,2808.00
9355,B,1,2932.00
4528,C,0,2858.00
14590,B,0,2614.00
9047,B,0,2416.00
79,B,0,2562.00
18032,C,0,2455.00
4170,B,0,3055.00
14943,B,0,2955.00
12436,C,0,2409.00
9868,B,0,2258.00
12853,C,0,2161.00
3762,C,0,3030.00
10490,B,0,2746.00
2318,B,0,2661.00
7365,B,0,2159.00
6352,C,0,2785.00
13352,B,0,3141.00
12027,C,0,2800.00
10828,C,0,2258.00
8159,B,0,2911.00
14990,C,0,2980.00
15398,C,0,2626.00
12278,C,0,2678.00
9894,C,0,3148.00
16029,B,0,3195.00
19255,B,0,2884.00
14748,C,0,2105.00
14954,B,0,2433.00
7828,B,0,2118.00
2927,C,0,2415.00
15475,C,0,2441.00
7020,C,0,2511.00
2616,B,0,2718.00
18819,B,1,911.00
2680,C,0,2827.00
14777,B,0,2615.00
8628,C,0,3016.00
2734,C,0,2639.00
12868,B,0,3219.00
16618,B,0,2375.00
8075,C,0,3147.00
1584,B,0,2572.00
12460,B,0,2949.00
10621,B,0,2582.00
17385,B,0,2231.00
152,B,0,2962.00
14047,B,0,2831.00
3688,B,0,2468.00
11571,B,0,2996.00
